nome,endereco,telefone,website,categoria,nota,reviews,latitude,longitude,place_id,fonte,data_coleta,horario_funcionamento,nivel_preco,score,criterios_atingidos,qualificado,nivel_qualificacao,data_qualificacao,observacoes_qualificacao
Hirota Food Supermercado,"R. Azevedo Soares, 733 - Vila Gomes Cardim, São Paulo - SP, 03322-000",(11) 2093-3498,https://hirotafood.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.2,2509,-23.5493566,-46.5695874,ChIJSwGcZrP3zpQRsmsymLWhr3k,Google Places,03/09/2025 20:25:25,"['segunda-feira: 08:00\u2009–\u200921:00', 'terça-feira: 08:00\u2009–\u200921:00', 'quarta-feira: 08:00\u2009–\u200921:00', 'quinta-feira: 08:00\u2009–\u200921:00', 'sexta-feira: 08:00\u2009–\u200921:00', 'sábado: 08:00\u2009–\u200921:00', 'domingo: 08:00\u2009–\u200918:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:38,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Kanguru Supermercado,"R. Antônio de Barros, 285 - Maranhão, São Paulo - SP, 03089-000",(11) 2227-3480,http://www.kangurudelivery.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.2,6329,-23.5327952,-46.5595563,ChIJqSwiEX5ezpQRQfdzi9qRK2w,Google Places,03/09/2025 20:25:27,"['segunda-feira: 08:00\u2009–\u200920:00', 'terça-feira: 08:00\u2009–\u200920:00', 'quarta-feira: 08:00\u2009–\u200920:00', 'quinta-feira: 08:00\u2009–\u200920:00', 'sexta-feira: 08:00\u2009–\u200920:00', 'sábado: 08:00\u2009–\u200920:00', 'domingo: 09:00\u2009–\u200914:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:38,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Dia Supermercado,"R. Serra de Japi, 926 - Vila Gomes Cardim, São Paulo - SP, 03309-000",0800 723 1470,https://www.dia.com.br/lojas/sp-sao-paulo-tatuape-rua-serra-do-japi-926/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=9180,"['supermarket', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.9,595,-23.5475063,-46.568789,ChIJb8vvXSZfzpQRqXA4gxctc80,Google Places,03/09/2025 20:25:30,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200920:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:38,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Extra Mercado,"R. Condessa de São Joaquim, 303 - Liberdade, São Paulo - SP, 01320-000",0800 779 6761,https://www.clubeextra.com.br/,"['supermarket', 'bakery', 'convenience_store', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.3,1022,-23.5578121,-46.640107,ChIJwXjUtq9ZzpQRwc8VoMdscrY,Google Places,03/09/2025 20:25:32,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:39,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Chama Supermercados - Água Rasa,"R. Barão de Penedo, 102 - Água Rasa, São Paulo - SP, 03179-070",(11) 2601-0478,http://www.grupochama.com.br/,"['supermarket', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",4.3,3126,-23.5541608,-46.5810483,ChIJXWXGzbtezpQR_vYsRgvqDrI,Google Places,03/09/2025 20:25:34,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200914:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:39,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Mercado Municipal de São Paulo,"R. da Cantareira, 306 - Centro Histórico de São Paulo, São Paulo - SP, 01024-900",(11) 4580-1390,https://www.mercadomunicipalsp.com/,"['tourist_attraction', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.5,195192,-23.5420217,-46.6294111,ChIJBQICYYxfzpQR9P4GxnTkmgA,Google Places,03/09/2025 20:25:37,"['segunda-feira: 06:00\u2009–\u200918:00', 'terça-feira: 06:00\u2009–\u200918:00', 'quarta-feira: 06:00\u2009–\u200918:00', 'quinta-feira: 06:00\u2009–\u200918:00', 'sexta-feira: 06:00\u2009–\u200918:00', 'sábado: 06:00\u2009–\u200918:00', 'domingo: 06:00\u2009–\u200916:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:41,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
DIA Supermercado,"Av. Celso Garcia, 4105 - Tatuapé, São Paulo - SP, 03064-000",0800 723 1470,https://www.dia.com.br/lojas/sp-sao-paulo-tatuape-avenida-celso-garcia-4105/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=9450,"['supermarket', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",3.4,1139,-23.5355122,-46.5725896,ChIJ46sNYilfzpQREzr4Pk7BEpY,Google Places,03/09/2025 20:25:39,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200918:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:42,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Padaria Bella Suil,"R. Antônio de Barros, 1419 - Tatuapé, São Paulo - SP, 03401-001",(11) 99264-8673,https://epadoca.com/bellasuil,"['bakery', 'meal_delivery', 'cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.3,2367,-23.5425646,-46.556717,ChIJhdRPkpJfzpQRUYgzD-wlo48,Google Places,03/09/2025 20:26:22,"['segunda-feira: 06:00\u2009–\u200923:00', 'terça-feira: 06:00\u2009–\u200923:00', 'quarta-feira: 06:00\u2009–\u200923:00', 'quinta-feira: 06:00\u2009–\u200923:00', 'sexta-feira: 06:00\u2009–\u200923:00', 'sábado: 06:00\u2009–\u200923:00', 'domingo: 06:00\u2009–\u200923:00']",2,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:43,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Big Bread Prime - Tatuapé,"R. Apucarana, 120 - Tatuapé, São Paulo - SP, 03311-001",(11) 2091-1089,https://bigbreadprime.com.br/unidade-tatuape/,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.5,13098,-23.5399377,-46.565272,ChIJ81y6ku1ezpQRUGswGohmCRA,Google Places,03/09/2025 20:26:25,"['segunda-feira: 05:00\u2009–\u200922:00', 'terça-feira: 05:00\u2009–\u200922:00', 'quarta-feira: 05:00\u2009–\u200922:00', 'quinta-feira: 05:00\u2009–\u200922:00', 'sexta-feira: 05:00\u2009–\u200922:00', 'sábado: 05:00\u2009–\u200922:00', 'domingo: 05:00\u2009–\u200922:00']",2,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:44,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Panificadora e Confeitaria São João,"R. Vilela, 969 - Tatuapé, São Paulo - SP, 03314-000",(11) 2941-6028,https://apadariasaojoao.com/?fbclid=PAAaZP-nzYm8DCvB98lTcNXIHQBHTBEtQb94EGS1u-9oV36ekfYAUxML2-VhU_aem_AQ_6ZID6p81d02oZcwET1mueVJlfjeDSo6-D7wufrl_QLrQTm3CTy53JMfq_uMpQ0uk,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']",4.2,1663,-23.5428296,-46.5650093,ChIJI81mTu1ezpQR1s3XO4gjy1U,Google Places,03/09/2025 20:26:27,"['segunda-feira: 05:30\u2009–\u200922:30', 'terça-feira: 05:30\u2009–\u200922:30', 'quarta-feira: 05:30\u2009–\u200922:30', 'quinta-feira: 05:30\u2009–\u200922:30', 'sexta-feira: 05:30\u2009–\u200922:30', 'sábado: 05:30\u2009–\u200922:30', 'domingo: 05:30\u2009–\u200922:30']",2,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 20:27:44,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
