nome,endereco,telefone,website,categoria,nota,reviews,latitude,longitude,place_id,fonte,data_coleta,horario_funcionamento,nivel_preco,score,criterios_atingidos,qualificado,nivel_qualificacao,data_qualificacao,observacoes_qualificacao
Mambo,"R. Serra de Botucatu, 1703 - Tatuapé, São Paulo - SP, 03317-001",(11) 2227-5900,http://www.mambo.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.4,7407,-23.5410749,-46.5548998,ChIJTbHonYpezpQRzG6VRWzkYnQ,Google Places,03/09/2025 17:14:10,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:30']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:36,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Supermercados Yamauchi,"R. Azevedo Soares, 2726 - Tatuapé, São Paulo - SP, 03408-060",(11) 2095-2888,http://www.yamauchi.com.br/,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.3,3460,-23.5470474,-46.5508422,ChIJ1fWSW2NezpQRorgCkvcT-TY,Google Places,03/09/2025 17:14:13,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200915:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:36,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Sonda Supermercados - Tatuapé,"R. Apucarana, 1000 - Tatuapé, São Paulo - SP, 03311-000",(11) 2132-0900,https://www.sondadelivery.com.br/,"['supermarket', 'storage', 'grocery_or_supermarket', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.4,14474,-23.5466855,-46.5636062,ChIJK_ap7I1ezpQRBBB3NUEn4Zc,Google Places,03/09/2025 17:14:15,"['segunda-feira: Atendimento 24 horas', 'terça-feira: Atendimento 24 horas', 'quarta-feira: Atendimento 24 horas', 'quinta-feira: Atendimento 24 horas', 'sexta-feira: Atendimento 24 horas', 'sábado: Atendimento 24 horas', 'domingo: 00:00\u2009–\u200922:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:38,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
VIP Supermercados,"Rua Monte Serrat, 1520 - Tatuapé, São Paulo - SP, 03312-001",(11) 2672-8000,http://www.vipsupermercados.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.5,2015,-23.5512215,-46.5599187,ChIJLQCS_oVezpQRKn7tRgQ-Cq8,Google Places,03/09/2025 17:14:17,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200921:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:39,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Kanguru Supermercado,"R. Antônio de Barros, 285 - Maranhão, São Paulo - SP, 03089-000",(11) 2227-3480,http://www.kangurudelivery.com.br/,"['supermarket', 'liquor_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.2,6328,-23.5327952,-46.5595563,ChIJqSwiEX5ezpQRQfdzi9qRK2w,Google Places,03/09/2025 17:14:20,"['segunda-feira: 08:00\u2009–\u200920:00', 'terça-feira: 08:00\u2009–\u200920:00', 'quarta-feira: 08:00\u2009–\u200920:00', 'quinta-feira: 08:00\u2009–\u200920:00', 'sexta-feira: 08:00\u2009–\u200920:00', 'sábado: 08:00\u2009–\u200920:00', 'domingo: 09:00\u2009–\u200914:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:39,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Sonda Supermercados - Vila Carrão,"Av. Conselheiro Carrão, 2255 - Vila Carrão, São Paulo - SP, 03403-002",(11) 2588-4350,http://www.sondadelivery.com.br/,"['supermarket', 'atm', 'storage', 'grocery_or_supermarket', 'finance', 'bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.3,7655,-23.5473862,-46.5394191,ChIJH61m6XNezpQRkwKrkBZTijs,Google Places,03/09/2025 17:14:22,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 07:00\u2009–\u200922:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:39,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Dia Brasil,"R. Cantagalo, 1508 - Vila Gomes Cardim, São Paulo - SP, 03319-001",0800 723 1470,https://www.dia.com.br/,"['supermarket', 'grocery_or_supermarket', 'bakery', 'store', 'food', 'point_of_interest', 'establishment']",3.7,710,-23.544388,-46.5594454,ChIJkS1jiItezpQRP129v-hiOVo,Google Places,03/09/2025 17:14:24,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200920:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:40,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Chama Supermercados - Tatuapé,"R. Emília Marengo, 140 - Tatuapé, São Paulo - SP, 03336-010",(11) 2671-2951,http://www.grupochama.com.br/,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.4,3237,-23.5531665,-46.5659016,ChIJgbR_dpBezpQRp0f_w9ffQIs,Google Places,03/09/2025 17:14:26,"['segunda-feira: 07:00\u2009–\u200921:00', 'terça-feira: 07:00\u2009–\u200921:00', 'quarta-feira: 07:00\u2009–\u200921:00', 'quinta-feira: 07:00\u2009–\u200921:00', 'sexta-feira: 07:00\u2009–\u200921:00', 'sábado: 07:00\u2009–\u200921:00', 'domingo: 07:00\u2009–\u200916:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:40,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Mili Supermercado,"Rua João Chrisóstomo Filho, 1945 - Chácara Santo Antônio (Zona Leste), São Paulo - SP, 03408-010",(11) 96976-5059,,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.2,77,-23.5471783,-46.5552387,ChIJb1TDLYhezpQRAsDVm84SZLk,Google Places,03/09/2025 17:14:29,"['segunda-feira: 07:30\u2009–\u200919:00', 'terça-feira: 07:30\u2009–\u200919:00', 'quarta-feira: 07:30\u2009–\u200919:00', 'quinta-feira: 07:30\u2009–\u200919:00', 'sexta-feira: 07:30\u2009–\u200919:00', 'sábado: 07:30\u2009–\u200919:00', 'domingo: 08:00\u2009–\u200913:00']",0,3,"['Telefone válido', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:40,"Lead qualificado. Critérios atingidos: Telefone válido, Endereço válido, Nome válido"
Minuto Pão de Açúcar,"R. Cantagalo, 2325 - Vila Gomes Cardim, São Paulo - SP, 03319-002",0800 779 6761,https://www.paodeacucar.com/,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",2.8,28,-23.5426001,-46.5517253,ChIJ-QyAOTRfzpQR_DivGNEuoEs,Google Places,03/09/2025 17:14:31,"['segunda-feira: 07:00\u2009–\u200922:00', 'terça-feira: 07:00\u2009–\u200922:00', 'quarta-feira: 07:00\u2009–\u200922:00', 'quinta-feira: 07:00\u2009–\u200922:00', 'sexta-feira: 07:00\u2009–\u200922:00', 'sábado: 07:00\u2009–\u200922:00', 'domingo: 08:00\u2009–\u200920:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:40,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Supermercado Monte Alverne - temos delivery,"Rua Frei Mont'Alverne, 410/420 - Vila Aricanduva, São Paulo - SP, 03505-030",(11) 98775-7656,https://www.lojalocal.com/amstel/03408660000102,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.1,1663,-23.5364635,-46.5375856,ChIJFzF5BGtezpQRkEvpV_scrl4,Google Places,03/09/2025 17:14:33,"['segunda-feira: 07:00\u2009–\u200920:00', 'terça-feira: 07:00\u2009–\u200920:00', 'quarta-feira: 07:00\u2009–\u200920:00', 'quinta-feira: 07:00\u2009–\u200920:00', 'sexta-feira: 07:00\u2009–\u200920:00', 'sábado: 07:00\u2009–\u200920:00', 'domingo: 08:00\u2009–\u200914:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:41,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
Hortifruti & Supermercado,"R. Cel. Gustavo Santiago, 71 - Vila Zilda, São Paulo - SP, 03069-030",,,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.5,932,-23.5338782,-46.5657924,ChIJC5lX9O9ezpQRA_r4oHyHSHc,Google Places,03/09/2025 17:14:35,"['segunda-feira: 09:00\u2009–\u200921:00', 'terça-feira: 09:00\u2009–\u200921:00', 'quarta-feira: 09:00\u2009–\u200921:00', 'quinta-feira: 09:00\u2009–\u200921:00', 'sexta-feira: 09:00\u2009–\u200921:00', 'sábado: 09:00\u2009–\u200921:00', 'domingo: 09:00\u2009–\u200920:00']",0,2,"['Endereço válido', 'Nome válido']",False,Baixo,03/09/2025 17:16:41,"Lead com baixa qualificação. Critérios atingidos: Endereço válido, Nome válido"
Hirota Food Supermercado,"R. Azevedo Soares, 733 - Vila Gomes Cardim, São Paulo - SP, 03322-000",(11) 2093-3498,https://hirotafood.com.br/,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",4.2,2509,-23.5493566,-46.5695874,ChIJSwGcZrP3zpQRsmsymLWhr3k,Google Places,03/09/2025 17:14:38,"['segunda-feira: 08:00\u2009–\u200921:00', 'terça-feira: 08:00\u2009–\u200921:00', 'quarta-feira: 08:00\u2009–\u200921:00', 'quinta-feira: 08:00\u2009–\u200921:00', 'sexta-feira: 08:00\u2009–\u200921:00', 'sábado: 08:00\u2009–\u200921:00', 'domingo: 08:00\u2009–\u200918:00']",0,4,"['Telefone válido', 'Site ativo', 'Endereço válido', 'Nome válido']",True,Médio,03/09/2025 17:16:42,"Lead qualificado. Critérios atingidos: Telefone válido, Site ativo, Endereço válido, Nome válido"
